market_name,district_name,state,commodity,variety,grade,price_date,modal_price,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_change_3d,price_change_7d,price_change_14d,price_change_30d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,rolling_std_30d,price_vs_ma7,price_vs_ma30,month,day_of_week,crash
Konch,Jalaun (Orai),Uttar Pradesh,Brinjal,Round/Long,FAQ,2024-09-29,1700.0,1700.0,1800.0,1850.0,1500.0,1900.0,-0.0555555555555555,-0.081081081081081,0.1333333333333333,-0.1052631578947368,1716.6666666666667,1652.0833333333333,51.63977794943232,104.75558163677113,-0.0097087378640776,0.0290037831021439,9,6,0
Konch,Jalaun (Orai),Uttar Pradesh,Banana,Banana - Ripe,Medium,2024-09-29,2500.0,2300.0,2300.0,2200.0,2400.0,2300.0,0.0869565217391303,0.1363636363636364,0.0416666666666667,0.0869565217391303,2283.333333333333,2322.9166666666665,116.9045194450012,77.98991945265699,0.0948905109489051,0.0762331838565022,9,6,0
Maudaha,Hamirpur,Uttar Pradesh,Banana,Banana - Ripe,Medium,2024-10-06,2250.0,2150.0,2150.0,2350.0,2050.0,2050.0,0.0465116279069768,-0.0425531914893616,0.0975609756097561,0.0975609756097561,2200.0,2114.705882352941,57.73502691896263,116.94644324747676,0.0227272727272727,0.0639777468706537,10,6,0
Konch,Jalaun (Orai),Uttar Pradesh,Green Chilli,Green Chilly,FAQ,2024-10-21,2500.0,2490.0,4480.0,3000.0,3600.0,3500.0,-0.4419642857142857,-0.1666666666666666,-0.3055555555555556,-0.2857142857142857,2890.0,3185.7894736842104,888.8475684840455,544.6845752816095,-0.1349480968858131,-0.2152651577730051,10,0,0
Mehta,Amritsar,Punjab,Brinjal,Arkasheela Mattigulla,FAQ,2024-10-24,2000.0,1500.0,3000.0,2500.0,2000.0,2500.0,-0.3333333333333333,-0.1999999999999999,0.0,-0.1999999999999999,2166.6666666666665,2410.0,763.7626158259733,608.1849134012517,-0.0769230769230768,-0.1701244813278007,10,3,1
Shahkot,Jalandhar,Punjab,Green Chilli,Other,FAQ,2024-11-01,1100.0,1100.0,1400.0,1400.0,1500.0,1300.0,-0.2142857142857143,-0.2142857142857143,-0.2666666666666667,-0.1538461538461538,1133.3333333333333,1362.5,163.29931618554522,233.4523505985755,-0.0294117647058822,-0.1926605504587155,11,4,0
Varanasi,Varanasi,Uttar Pradesh,Brinjal,Arkasheela Mattigulla,FAQ,2024-11-03,2180.0,2200.0,2250.0,2225.0,2200.0,1980.0,-0.031111111111111,-0.0202247191011235,-0.009090909090909,0.101010101010101,2207.5,2183.4210526315787,29.86078811194826,97.34036263971086,-0.0124575311438278,-0.0015668313848378,11,6,0
Bewar,Mainpuri,Uttar Pradesh,Garlic,Garlic,FAQ,2024-11-03,20000.0,18000.0,18000.0,18500.0,18000.0,13000.0,0.1111111111111111,0.0810810810810811,0.1111111111111111,0.5384615384615385,18666.666666666668,17884.615384615383,1154.700538379251,938.8345202485132,0.0714285714285714,0.1182795698924732,11,6,0
Muktsar,Muktsar,Punjab,Banana,Banana - Ripe,Large,2024-11-10,2500.0,2500.0,2800.0,2200.0,3000.0,2200.0,-0.1071428571428571,0.1363636363636364,-0.1666666666666666,0.1363636363636364,2600.0,2625.0,173.20508075688772,237.8884383296273,-0.0384615384615384,-0.0476190476190476,11,6,0
Gangoh,Saharanpur,Uttar Pradesh,Garlic,Garlic,FAQ,2024-11-11,20200.0,20500.0,20500.0,20500.0,20500.0,20000.0,-0.0146341463414634,-0.0146341463414634,-0.0146341463414634,0.01,20400.0,20510.0,173.20508075688772,133.37718577106935,-0.0098039215686274,-0.01511457825451,11,0,1
Banur,Mohali,Punjab,Brinjal,Other,FAQ,2024-11-12,2000.0,2000.0,2300.0,2000.0,2000.0,2000.0,-0.1304347826086956,0.0,0.0,0.0,2160.0,2285.714285714286,151.65750888103102,759.7932049483692,-0.074074074074074,-0.125,11,1,0
Kuthuparambu,Kannur,Kerala,Brinjal,Brinjal,FAQ,2024-11-14,4000.0,4000.0,6000.0,6000.0,6000.0,5000.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.1999999999999999,4500.0,5390.909090909091,1000.0,719.7281834197232,-0.1111111111111111,-0.2580101180438449,11,3,0
